;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05/08/2020 17:22:50
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF016EF37  	GOTO        11374
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_SPI1_Read:
;__Lib_SPI_b10c7.c,66 :: 		
;__Lib_SPI_b10c7.c,67 :: 		
0x001C	0xFFC9C2ED  	MOVFF       FARG_SPI1_Read_buffer, SSPBUF
;__Lib_SPI_b10c7.c,68 :: 		
L_SPI1_Read6:
0x0020	0xB0C7      	BTFSC       SSPSTAT, 0 
0x0022	0xD002      	BRA         L_SPI1_Read7
;__Lib_SPI_b10c7.c,69 :: 		
0x0024	0x0000      	NOP
0x0026	0xD7FC      	BRA         L_SPI1_Read6
L_SPI1_Read7:
;__Lib_SPI_b10c7.c,70 :: 		
0x0028	0xF000CFC9  	MOVFF       SSPBUF, R0
;__Lib_SPI_b10c7.c,73 :: 		
0x002C	0x0012      	RETURN      0
; end of _SPI1_Read
_____DoIFC:
;__Lib_System.c,33 :: 		
;__Lib_System.c,34 :: 		
0x002E	0x50F2      	MOVF        INTCON, 0, 0
;__Lib_System.c,35 :: 		
0x0030	0x6E02      	MOVWF       R2, 0
;__Lib_System.c,36 :: 		
0x0032	0x9EF2      	BCF         INTCON, 7 
;__Lib_System.c,37 :: 		
0x0034	0x0005      	PUSH
;__Lib_System.c,38 :: 		
0x0036	0x6AFF      	CLRF        TOSU, 0
;__Lib_System.c,39 :: 		
0x0038	0x5001      	MOVF        R1, 0, 0
;__Lib_System.c,40 :: 		
0x003A	0x6EFE      	MOVWF       TOSH, 0
;__Lib_System.c,41 :: 		
0x003C	0x5000      	MOVF        R0, 0, 0
;__Lib_System.c,42 :: 		
0x003E	0x6EFD      	MOVWF       TOSL, 0
;__Lib_System.c,43 :: 		
0x0040	0xBE02      	BTFSC       R2, 7, 0
;__Lib_System.c,44 :: 		
0x0042	0x8EF2      	BSF         INTCON, 7, 0
;__Lib_System.c,45 :: 		
;__Lib_System.c,47 :: 		
0x0044	0x0012      	RETURN      0
; end of _____DoIFC
__Lib_Mmc_Mmc_DeSelect:
;__Lib_Mmc.c,65 :: 		
;__Lib_Mmc.c,67 :: 		
0x0046	0x808B      	BSF         Mmc_Chip_Select, BitPos(Mmc_Chip_Select+0) 
;__Lib_Mmc.c,71 :: 		
0x0048	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x004C	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0050	0x0EFF      	MOVLW       255
0x0052	0x6EE6      	MOVWF       POSTINC1 
0x0054	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x0058	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x005C	0xDFE8      	RCALL       _____DoIFC
;__Lib_Mmc.c,72 :: 		
0x005E	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_DeSelect
__Lib_Mmc_Mmc_Select:
;__Lib_Mmc.c,51 :: 		
;__Lib_Mmc.c,53 :: 		
0x0060	0x908B      	BCF         Mmc_Chip_Select, BitPos(Mmc_Chip_Select+0) 
;__Lib_Mmc.c,63 :: 		
0x0062	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_Select
__Lib_Mmc_Mmc_Send_Command:
;__Lib_Mmc.c,75 :: 		
;__Lib_Mmc.c,79 :: 		
0x0064	0x0E40      	MOVLW       64
0x0066	0x0102      	MOVLB       2
0x0068	0x25E4      	ADDWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 0, 1
0x006A	0x6E00      	MOVWF       R0 
0x006C	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0070	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0074	0xFFE6C000  	MOVFF       R0, POSTINC1
0x0078	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x007C	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0080	0xDFD6      	RCALL       _____DoIFC
;__Lib_Mmc.c,80 :: 		
0x0082	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0086	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x008A	0xFFE6C2E8  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, POSTINC1
0x008E	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x0092	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0096	0xDFCB      	RCALL       _____DoIFC
;__Lib_Mmc.c,81 :: 		
0x0098	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x009C	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00A0	0xFFE6C2E7  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, POSTINC1
0x00A4	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x00A8	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00AC	0xDFC0      	RCALL       _____DoIFC
;__Lib_Mmc.c,82 :: 		
0x00AE	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00B2	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00B6	0xFFE6C2E6  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, POSTINC1
0x00BA	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x00BE	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00C2	0xDFB5      	RCALL       _____DoIFC
;__Lib_Mmc.c,83 :: 		
0x00C4	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00C8	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00CC	0xFFE6C2E5  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content, POSTINC1
0x00D0	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x00D4	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00D8	0xDFAA      	RCALL       _____DoIFC
;__Lib_Mmc.c,84 :: 		
0x00DA	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00DE	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00E2	0xFFE6C2E9  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_crc, POSTINC1
0x00E6	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x00EA	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00EE	0xDF9F      	RCALL       _____DoIFC
;__Lib_Mmc.c,87 :: 		
0x00F0	0x0102      	MOVLB       2
0x00F2	0x6BEB      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1
0x00F4	0x6BEC      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1
;__Lib_Mmc.c,88 :: 		
L___Lib_Mmc_Mmc_Send_Command0:
;__Lib_Mmc.c,89 :: 		
0x00F6	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00FA	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00FE	0x0EFF      	MOVLW       255
0x0100	0x6EE6      	MOVWF       POSTINC1 
0x0102	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x0106	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x010A	0xDF91      	RCALL       _____DoIFC
0x010C	0xF2EAC000  	MOVFF       R0, __Lib_Mmc_Mmc_Send_Command_response_L0
;__Lib_Mmc.c,90 :: 		
0x0110	0x0102      	MOVLB       2
0x0112	0x4BEB      	INFSNZ      __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1, 1
0x0114	0x2BEC      	INCF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1, 1
;__Lib_Mmc.c,91 :: 		
0x0116	0x0E80      	MOVLW       128
0x0118	0x1400      	ANDWF       R0, 0 
0x011A	0x6E01      	MOVWF       R1 
0x011C	0x5001      	MOVF        R1, 0 
0x011E	0x0A00      	XORLW       0
0x0120	0xE007      	BZ          L___Lib_Mmc_Mmc_Send_Command58
0x0122	0x0E00      	MOVLW       0
0x0124	0x5DEC      	SUBWF       __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 0, 1
0x0126	0xE102      	BNZ         L___Lib_Mmc_Mmc_Send_Command59
0x0128	0x0E64      	MOVLW       100
0x012A	0x5DEB      	SUBWF       __Lib_Mmc_Mmc_Send_Command_timeout_L0, 0, 1
L___Lib_Mmc_Mmc_Send_Command59:
0x012C	0xE201      	BC          L___Lib_Mmc_Mmc_Send_Command58
0x012E	0xD7E3      	BRA         L___Lib_Mmc_Mmc_Send_Command0
L___Lib_Mmc_Mmc_Send_Command58:
;__Lib_Mmc.c,93 :: 		
0x0130	0xF000C2EA  	MOVFF       __Lib_Mmc_Mmc_Send_Command_response_L0, R0
;__Lib_Mmc.c,94 :: 		
0x0134	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_Send_Command
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0136	0x0000      	NOP
0x0138	0x0000      	NOP
0x013A	0x0000      	NOP
0x013C	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
0x013E	0x0012      	RETURN      0
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0140	0x0E1D      	MOVLW       29
0x0142	0x6E0C      	MOVWF       R12, 0
0x0144	0x0E91      	MOVLW       145
0x0146	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x0148	0x2E0D      	DECFSZ      R13, 1, 0
0x014A	0xD7FE      	BRA         L_Delay_5500us5
0x014C	0x2E0C      	DECFSZ      R12, 1, 0
0x014E	0xD7FC      	BRA         L_Delay_5500us5
;__Lib_Delays.c,33 :: 		}
0x0150	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0152	0x0E42      	MOVLW       66
0x0154	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0156	0x2E0D      	DECFSZ      R13, 1, 0
0x0158	0xD7FE      	BRA         L_Delay_50us2
0x015A	0x0000      	NOP
;__Lib_Delays.c,21 :: 		}
0x015C	0x0012      	RETURN      0
; end of _Delay_50us
_Mul_32x32_U:
